2025-10-22 11:28:41 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=1, 阶段=3/0
2025-10-22 11:28:41 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=2, 阶段=3/0
2025-10-22 11:28:41 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=3, 阶段=3/0
2025-10-22 11:28:41 | INFO     | progress:76 | 学习进度更新成功: 学生=linhao2, 单词集=Sheet1, 单词索引=4, 阶段=2/0
2025-10-22 11:28:41 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao2, 单词集=Sheet1, 单词索引=5, 阶段=1/0
2025-10-22 11:28:41 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao2, 单词集=Sheet1, 单词索引=6, 阶段=1/0
2025-10-22 11:28:41 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao2, 单词集=Sheet1, 单词索引=7, 阶段=1/0
2025-10-22 11:28:41 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao2, 单词集=Sheet1, 单词索引=8, 阶段=1/0
2025-10-22 11:28:41 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao2, 单词集=Sheet1, 单词索引=9, 阶段=0/0
2025-10-22 11:28:44 | INFO     | anti_forget:80 | 创建抗遗忘会话: ID=af_2_Sheet1_1761150524, 学生=linhao2, 单词集=Sheet1, 单词数=10
2025-10-22 11:28:44 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-23T10:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:28:44 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-24T10:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:28:44 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-25T10:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:28:44 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-27T10:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:28:44 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-29T10:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-22 11:28:44 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761164678234, 学生=linhao2, 时间=2025-10-31T10:00:00Z (UTC), 类型=review, 时长=30分钟
