2025-10-23 23:35:27 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-11-06T23:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-23 23:35:27 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-11-09T23:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-23 23:35:27 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-11-13T23:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-23 23:35:27 | INFO     | student_reviews:76 | 创建学生复习记录: ID=review_1_Sheet1_1761280527, 学生=linhao, 单词集=Sheet1, 单词数=10
2025-10-23 23:35:28 | INFO     | students:353 | 课时扣减成功: 学生=linhao, 扣减=1.0h, 20.0h → 19.0h, 操作人=jlh
2025-10-23 23:35:28 | INFO     | schedule:208 | 课程标记完成: 学生=linhao, 日期=2025-10-23, 类型=learning, 操作人=jlh
2025-10-23 23:35:34 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-23 23:35:34 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-23 23:35:51 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-23 23:35:51 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-23 23:43:40 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-23 23:43:40 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-23 23:49:28 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-23 23:49:28 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
2025-10-23 23:54:46 | INFO     | progress:218 | 九宫格统计: 学生=linhao, 单词集=Sheet1, 总单词数=2504, 已学=15, 统计={'grid_0': 2489, 'grid_1': 10, 'grid_2': 0, 'grid_3': 0, 'grid_4': 0, 'grid_5': 0, 'grid_6': 0, 'grid_7': 0, 'grid_8': 5}
